Column1,Will #1
0,0.4162
1,0.5338
2,0.5542
3,0.6531
4,0.7018
5,0.7078
6,0.7142
7,0.6753
8,0.7387
9,0.7722
10,0.7666
11,0.7905
12,0.7275
13,0.754
14,0.7446
15,0.7814
16,0.7906
17,0.7913
18,0.7873
19,0.797
20,0.8022
21,0.7988
22,0.8097
23,0.8022
24,0.8175
25,0.812
26,0.8167
27,0.8036
28,0.8011
29,0.8057
30,0.8155
31,0.785
32,0.8096
33,0.8172
34,0.8165
35,0.825
36,0.8113
37,0.8179
38,0.7882
39,0.8152
40,0.7632
41,0.8198
42,0.8056
43,0.8195
44,0.8092
45,0.8247
46,0.8009
47,0.82
48,0.8256
49,0.8111
50,0.8259
51,0.8283
52,0.8194
53,0.8273
54,0.8262
55,0.8287
56,0.8238
57,0.8275
58,0.8034
59,0.828
60,0.8279
61,0.8203
62,0.8288
63,0.8287
64,0.8262
65,0.829
66,0.8292
67,0.8288
68,0.8267
69,0.835
70,0.8299
71,0.8336
72,0.8273
73,0.8049
74,0.8253
75,0.8324
76,0.8152
77,0.8254
78,0.8282
79,0.8234
80,0.8196
81,0.8297
82,0.8306
83,0.7906
84,0.8269
85,0.8314
86,0.8349
87,0.8286
88,0.8335
89,0.8294
90,0.8332
91,0.8317
92,0.8272
93,0.8239
94,0.8332
95,0.8258
96,0.8301
97,0.8285
98,0.8314
99,0.8336
100,0.8272
101,0.8283
102,0.8312
103,0.8338
104,0.8298
105,0.8276
106,0.8307
107,0.8328
108,0.8313
109,0.8344
110,0.8288
111,0.8274
112,0.8351
113,0.826
114,0.8326
115,0.8306
116,0.8334
117,0.8328
118,0.8297
119,0.8304
120,0.8324
121,0.8273
122,0.8298
123,0.8342
124,0.8327
125,0.8307
126,0.8315
127,0.8316
128,0.8327
129,0.831
130,0.8328
131,0.8358
132,0.8328
133,0.8295
134,0.8331
135,0.834
136,0.8316
137,0.8308
138,0.8275
139,0.8097
140,0.8344
141,0.8349
142,0.8289
143,0.8323
144,0.8326
145,0.8324
146,0.8368
147,0.8369
148,0.8336
149,0.8291
150,0.8319
151,0.8227
152,0.8297
153,0.8354
154,0.835
155,0.8312
156,0.8332
157,0.8353
158,0.835
159,0.8333
160,0.8331
161,0.8353
162,0.816
163,0.8397
164,0.8171
165,0.8298
166,0.833
167,0.8362
168,0.8371
169,0.8376
170,0.8322
171,0.8372
172,0.8118
173,0.8288
174,0.8312
175,0.837
176,0.8324
177,0.8354
178,0.8378
179,0.8343
180,0.832
181,0.8357
182,0.8339
183,0.8337
184,0.8417
185,0.8377
186,0.8319
187,0.8418
188,0.8325
189,0.8334
190,0.8351
191,0.8326
192,0.8357
193,0.831
194,0.8369
195,0.8329
196,0.8323
197,0.834
198,0.8309
199,0.8339
200,0.8354
201,0.8363
202,0.8316
203,0.8397
204,0.8355
205,0.8376
206,0.8343
207,0.8365
208,0.8362
209,0.8341
210,0.8329
211,0.8356
212,0.8387
213,0.8354
214,0.8343
215,0.8378
216,0.8393
217,0.8347
218,0.834
219,0.8354
220,0.8345
221,0.8382
222,0.8395
223,0.833
224,0.8352
225,0.8401
226,0.8381
227,0.8316
228,0.8356
229,0.8331
230,0.8362
231,0.8319
232,0.8357
233,0.8358
234,0.8376
235,0.8393
236,0.8391
237,0.8372
