Column1,Will #1,Last Max,Will (bigger net),Last Max,Will (Adam),Last Max,Brian (new),Brian (new) Max
0,0.4162,0.4162,0.5559,0.5559,0.2402,0.2402,0.4466,0.4466
1,0.5338,0.5338,0.6602,0.6602,0.3579,0.3579,0.5404,0.5404
2,0.5542,0.5542,0.7037,0.7037,0.2553,0.3579,0.5701,0.5701
3,0.6531,0.6531,0.7317,0.7317,0.1113,0.3579,0.6312,0.6312
4,0.7018,0.7018,0.7434,0.7434,0.1274,0.3579,0.6485,0.6485
5,0.7078,0.7078,0.7546,0.7546,0.154,0.3579,0.7052,0.7052
6,0.7142,0.7142,0.7628,0.7628,0.1719,0.3579,0.7027,0.7052
7,0.6753,0.7142,0.7578,0.7628,0.1952,0.3579,0.7284,0.7284
8,0.7387,0.7387,0.763,0.763,0.2355,0.3579,0.7796,0.7796
9,0.7722,0.7722,0.763,0.763,0.267,0.3579,0.7749,0.7796
10,0.7666,0.7722,0.7633,0.7633,0.2629,0.3579,0.7769,0.7796
11,0.7905,0.7905,0.7569,0.7633,0.3096,0.3579,0.7842,0.7842
12,0.7275,0.7905,0.7637,0.7637,0.3395,0.3579,0.7623,0.7842
13,0.754,0.7905,0.77,0.77,0.3414,0.3579,0.8015,0.8015
14,0.7446,0.7905,0.7733,0.7733,0.3664,0.3664,0.8113,0.8113
15,0.7814,0.7905,0.772,0.7733,0.3344,0.3664,0.7509,0.8113
16,0.7906,0.7906,0.7673,0.7733,0.3659,0.3664,0.7469,0.8113
17,0.7913,0.7913,0.779,0.779,0.1121,0.3664,0.7833,0.8113
18,0.7873,0.7913,0.766,0.779,0.0995,0.3664,0.805,0.8113
19,0.797,0.797,0.7753,0.779,0.0989,0.3664,0.8164,0.8164
20,0.8022,0.8022,0.7705,0.779,0.1105,0.3664,0.778,0.8164
21,0.7988,0.8022,0.7723,0.779,0.1206,0.3664,0.8061,0.8164
22,0.8097,0.8097,0.7814,0.7814,0.1125,0.3664,0.8236,0.8236
23,0.8022,0.8097,0.7703,0.7814,0.1131,0.3664,0.8158,0.8236
