Column1,Will #1,Last Max
0,0.4162,0.4162
1,0.5338,0.5338
2,0.5542,0.5542
3,0.6531,0.6531
4,0.7018,0.7018
5,0.7078,0.7078
6,0.7142,0.7142
7,0.6753,0.7142
8,0.7387,0.7387
9,0.7722,0.7722
10,0.7666,0.7722
11,0.7905,0.7905
12,0.7275,0.7905
13,0.754,0.7905
14,0.7446,0.7905
15,0.7814,0.7905
16,0.7906,0.7906
17,0.7913,0.7913
18,0.7873,0.7913
19,0.797,0.797
20,0.8022,0.8022
21,0.7988,0.8022
22,0.8097,0.8097
23,0.8022,0.8097
24,0.8175,0.8175
25,0.812,0.8175
26,0.8167,0.8175
27,0.8036,0.8175
28,0.8011,0.8175
29,0.8057,0.8175
30,0.8155,0.8175
31,0.785,0.8175
32,0.8096,0.8175
33,0.8172,0.8175
34,0.8165,0.8175
35,0.825,0.825
36,0.8113,0.825
37,0.8179,0.825
38,0.7882,0.825
39,0.8152,0.825
40,0.7632,0.825
41,0.8198,0.825
42,0.8056,0.825
43,0.8195,0.825
44,0.8092,0.825
45,0.8247,0.825
46,0.8009,0.825
47,0.82,0.825
48,0.8256,0.8256
49,0.8111,0.8256
50,0.8259,0.8259
51,0.8283,0.8283
52,0.8194,0.8283
53,0.8273,0.8283
54,0.8262,0.8283
55,0.8287,0.8287
56,0.8238,0.8287
57,0.8275,0.8287
58,0.8034,0.8287
59,0.828,0.8287
60,0.8279,0.8287
61,0.8203,0.8287
62,0.8288,0.8288
63,0.8287,0.8288
64,0.8262,0.8288
65,0.829,0.829
66,0.8292,0.8292
67,0.8288,0.8292
68,0.8267,0.8292
69,0.835,0.835
70,0.8299,0.835
71,0.8336,0.835
72,0.8273,0.835
73,0.8049,0.835
74,0.8253,0.835
75,0.8324,0.835
76,0.8152,0.835
77,0.8254,0.835
78,0.8282,0.835
79,0.8234,0.835
80,0.8196,0.835
81,0.8297,0.835
82,0.8306,0.835
83,0.7906,0.835
84,0.8269,0.835
85,0.8314,0.835
86,0.8349,0.835
87,0.8286,0.835
88,0.8335,0.835
89,0.8294,0.835
90,0.8332,0.835
91,0.8317,0.835
92,0.8272,0.835
93,0.8239,0.835
94,0.8332,0.835
95,0.8258,0.835
96,0.8301,0.835
97,0.8285,0.835
98,0.8314,0.835
99,0.8336,0.835
100,0.8272,0.835
101,0.8283,0.835
102,0.8312,0.835
103,0.8338,0.835
104,0.8298,0.835
105,0.8276,0.835
106,0.8307,0.835
107,0.8328,0.835
108,0.8313,0.835
109,0.8344,0.835
110,0.8288,0.835
111,0.8274,0.835
112,0.8351,0.8351
113,0.826,0.8351
114,0.8326,0.8351
115,0.8306,0.8351
116,0.8334,0.8351
117,0.8328,0.8351
118,0.8297,0.8351
119,0.8304,0.8351
120,0.8324,0.8351
121,0.8273,0.8351
122,0.8298,0.8351
123,0.8342,0.8351
124,0.8327,0.8351
125,0.8307,0.8351
126,0.8315,0.8351
127,0.8316,0.8351
128,0.8327,0.8351
129,0.831,0.8351
130,0.8328,0.8351
131,0.8358,0.8358
132,0.8328,0.8358
133,0.8295,0.8358
134,0.8331,0.8358
135,0.834,0.8358
136,0.8316,0.8358
137,0.8308,0.8358
138,0.8275,0.8358
139,0.8097,0.8358
140,0.8344,0.8358
141,0.8349,0.8358
142,0.8289,0.8358
143,0.8323,0.8358
144,0.8326,0.8358
145,0.8324,0.8358
146,0.8368,0.8368
147,0.8369,0.8369
148,0.8336,0.8369
149,0.8291,0.8369
150,0.8319,0.8369
151,0.8227,0.8369
152,0.8297,0.8369
153,0.8354,0.8369
154,0.835,0.8369
155,0.8312,0.8369
156,0.8332,0.8369
157,0.8353,0.8369
158,0.835,0.8369
159,0.8333,0.8369
160,0.8331,0.8369
161,0.8353,0.8369
162,0.816,0.8369
163,0.8397,0.8397
164,0.8171,0.8397
165,0.8298,0.8397
166,0.833,0.8397
167,0.8362,0.8397
168,0.8371,0.8397
169,0.8376,0.8397
170,0.8322,0.8397
171,0.8372,0.8397
172,0.8118,0.8397
173,0.8288,0.8397
174,0.8312,0.8397
175,0.837,0.8397
176,0.8324,0.8397
177,0.8354,0.8397
178,0.8378,0.8397
179,0.8343,0.8397
180,0.832,0.8397
181,0.8357,0.8397
182,0.8339,0.8397
183,0.8337,0.8397
184,0.8417,0.8417
185,0.8377,0.8417
186,0.8319,0.8417
187,0.8418,0.8418
188,0.8325,0.8418
189,0.8334,0.8418
190,0.8351,0.8418
191,0.8326,0.8418
192,0.8357,0.8418
193,0.831,0.8418
194,0.8369,0.8418
195,0.8329,0.8418
196,0.8323,0.8418
197,0.834,0.8418
198,0.8309,0.8418
199,0.8339,0.8418
200,0.8354,0.8418
201,0.8363,0.8418
202,0.8316,0.8418
203,0.8397,0.8418
204,0.8355,0.8418
205,0.8376,0.8418
206,0.8343,0.8418
207,0.8365,0.8418
208,0.8362,0.8418
209,0.8341,0.8418
210,0.8329,0.8418
211,0.8356,0.8418
212,0.8387,0.8418
213,0.8354,0.8418
214,0.8343,0.8418
215,0.8378,0.8418
216,0.8393,0.8418
217,0.8347,0.8418
218,0.834,0.8418
219,0.8354,0.8418
220,0.8345,0.8418
221,0.8382,0.8418
222,0.8395,0.8418
223,0.833,0.8418
224,0.8352,0.8418
225,0.8401,0.8418
226,0.8381,0.8418
227,0.8316,0.8418
228,0.8356,0.8418
229,0.8331,0.8418
230,0.8362,0.8418
231,0.8319,0.8418
232,0.8357,0.8418
233,0.8358,0.8418
234,0.8376,0.8418
235,0.8393,0.8418
236,0.8391,0.8418
237,0.8372,0.8418
